,player_height,player_name,team_conference,team_name,player_height_in
411,5-11,Nate Johnson,Northeast Conference,Robert Morris,71
412,6-7,Joe Hugley,Northeast Conference,Robert Morris,79
413,6-7,Billy Giles,Northeast Conference,Robert Morris,79
414,6-2,Matty McConnell,Northeast Conference,Robert Morris,74
415,6-5,Aaron Tate,Northeast Conference,Robert Morris,77
416,6-4,Conrad Stephens,Northeast Conference,Robert Morris,76
417,6-8,Andre Frederick,Northeast Conference,Robert Morris,80
418,6-9,Stephan Bennett,Northeast Conference,Robert Morris,81
419,6-4,Trayvon Palmer,Western Athletic Conference,Chicago State,76
420,6-5,Jared Dimakos,Western Athletic Conference,Chicago State,77
421,6-0,Joshua Batson,Western Athletic Conference,Chicago State,72
422,6-4,Montana Byrd,Western Athletic Conference,Chicago State,76
423,6-3,Nate Duhon,Western Athletic Conference,Chicago State,75
424,6-6,Jawad Adekoya,Western Athletic Conference,Chicago State,78
425,6-10,Quron Davis,Western Athletic Conference,Chicago State,82
426,6-8,Jesse Tesmer,Western Athletic Conference,Chicago State,80
427,5-11,Elliot Cole,Western Athletic Conference,Chicago State,71
428,6-3,Delundre Dixon,Western Athletic Conference,Chicago State,75
429,6-8,Jordan Madrid-Andrews,Western Athletic Conference,Chicago State,80
430,6-2,Clemmye Owens,Western Athletic Conference,Chicago State,74
431,6-10,Marcelo Ruediger,Western Athletic Conference,Chicago State,82
432,6-2,Kieran Woods,Western Athletic Conference,Chicago State,74
433,6-1,Isiah Umipig,Western Athletic Conference,Seattle,73
434,6-3,Emerson Murray,Western Athletic Conference,Seattle,75
435,6-11,Theo Turner,Western Athletic Conference,Seattle,83
436,6-9,Deshaun Sunderhaus,Western Athletic Conference,Seattle,81
437,6-4,Jadon Cohee,Western Athletic Conference,Seattle,76
438,6-6,Emmanuel Chibuogwu,Western Athletic Conference,Seattle,78
439,6-2,Jack Shaughnessy,Western Athletic Conference,Seattle,74
440,6-9,Shore Adenekan,Western Athletic Conference,Seattle,81
441,6-6,William Powell,Western Athletic Conference,Seattle,78
442,6-2,Manroop Clair,Western Athletic Conference,Seattle,74
